"N_cells"	"ID"	"ParentID"	"Birth_time"	"type"	"mut_den"	"driver_genes"	"passenger_genes"	"PointMut_ID"	"CNA_ID"	"order"
6989	2	0	0	"primary"	0.25	"0 1 0 0"	"0 0 0 0"	"1"	"0"	"KRAS"
423	13	2	4	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"8"	"KRAS -> PIK3CA"
135	15	2	6	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"9"	"KRAS -> APC"
82	16	2	6	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1"	"10"	"KRAS"
2	30	2	10	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1, 21"	"0"	"KRAS"
9	34	2	10	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"21"	"KRAS -> APC"
18	38	2	12	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"24"	"KRAS -> APC"
58	46	2	13	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1, 37"	"0"	"KRAS -> PIK3CA"
19	54	2	14	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1, 45"	"0"	"KRAS -> APC"
4	70	2	17	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"40"	"KRAS -> APC"
7	76	2	18	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 63"	"0"	"KRAS"
6	77	2	18	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 65"	"0"	"KRAS"
114	82	2	19	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1, 71"	"0"	"KRAS -> PIK3CA"
7	83	2	19	"primary"	0.25	"0 1 0 0"	"0 0 0 0"	"1"	"47"	"KRAS -> KRAS"
78	90	2	20	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"53"	"KRAS -> PIK3CA"
18	94	2	20	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"56"	"KRAS -> APC"
7	106	47	21	"primary"	0.5	"1 1 0 0"	"1 0 0 0"	"1, 87"	"27"	"KRAS -> APC"
42	107	2	22	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"65"	"KRAS -> APC"
36	108	2	22	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"66"	"KRAS -> APC"
64	118	2	23	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1, 99"	"0"	"KRAS -> PIK3CA"
2	125	2	23	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1, 103"	"0"	"KRAS"
30	128	54	23	"primary"	0.5	"1 1 0 0"	"1 0 0 0"	"1, 45"	"78"	"KRAS -> APC"
7	133	2	24	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"81"	"KRAS -> APC"
1	141	2	25	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1, 117"	"0"	"KRAS"
13	142	112	25	"primary"	0.5	"1 1 0 0"	"1 0 0 0"	"1, 93"	"86"	"KRAS -> APC"
3	148	2	26	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 123"	"0"	"KRAS"
18	151	2	26	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"91"	"KRAS -> APC"
1	152	2	26	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1"	"92"	"KRAS"
8	171	2	28	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1"	"103"	"KRAS"
10	172	2	28	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"104"	"KRAS -> PIK3CA"
17	177	2	28	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1, 145"	"0"	"KRAS -> PIK3CA"
18	187	2	29	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"113"	"KRAS -> APC"
2	196	54	29	"primary"	0.5	"1 1 0 0"	"1 0 0 0"	"1, 45"	"119"	"KRAS -> APC"
12	200	2	30	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"123"	"KRAS -> PIK3CA"
13	203	2	30	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"124"	"KRAS -> APC"
13	209	2	30	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 169"	"0"	"KRAS"
