Time	N_clones	N_normal_intact	N_normal_speckled	N_primary	N_metastatic	N_point_mutations	N_duplications	N_deletions	TMB_primary	TMB_primary_VAF%5	TMB_primary_VAF%10	TMB_metastatic	TMB_metastatic_VAF%5	TMB_metastatic_VAF%10
1	6	488	1	603	0	2	3	0	20.4021	20.3681	20.3681	0	0	0
2	9	490	3	666	0	3	5	0	21.3016	21.2057	21.2057	0	0	0
3	9	497	3	730	0	4	4	0	22.0009	21.8502	21.8502	0	0	0
4	8	467	2	814	0	3	4	0	23.4902	23.3457	23.3457	0	0	0
5	8	450	2	897	0	3	4	0	24.6217	24.4843	24.4843	0	0	0
6	6	427	1	987	2	2	3	0	25.8573	25.7001	25.7001	37.07	37.07	37.07
7	11	401	2	1102	4	5	5	0	27.2175	27.0697	27.0697	37.07	37.07	37.07
8	8	370	2	1227	6	3	4	0	28.4922	28.3531	28.3531	37.07	37.07	37.07
9	12	341	1	1351	8	5	6	0	29.6472	29.4721	29.4721	37.07	37.07	37.07
10	11	310	0	1495	11	2	8	0	30.6829	30.5596	30.5596	37.07	37.07	37.07
11	15	267	0	1636	10	5	9	0	31.8884	31.791	31.791	37.07	37.07	37.07
12	13	255	0	1802	12	4	8	0	32.5106	32.3844	32.3844	37.07	37.07	37.07
13	17	229	0	1999	15	7	9	0	33.3264	33.16	33.16	37.07	37.07	37.07
14	25	196	0	2145	18	10	13	1	34.1247	33.8713	33.8713	37.07	37.07	37.07
15	27	169	0	2402	20	11	13	2	34.8207	34.5035	34.5035	40.777	40.777	37.07
16	29	121	1	2631	29	13	14	1	35.6427	35.3195	35.3195	40.9048	40.9048	37.07
17	27	81	1	2883	32	13	12	1	36.3323	35.9573	35.9573	39.3869	37.07	37.07
18	32	64	1	3167	29	15	16	0	36.6456	36.2671	36.2671	42.1831	42.1831	37.07
19	30	46	1	3449	29	14	16	0	36.8897	36.5398	36.5398	43.4614	43.4614	37.07
20	33	35	0	3765	28	17	15	0	37.0602	36.6798	36.6798	48.9853	48.9853	48.9853
21	39	26	0	4030	31	19	18	2	37.1797	36.7775	36.7775	49.028	46.6364	46.6364
22	45	20	0	4331	39	21	23	2	37.3341	36.874	36.874	51.3277	51.3277	47.5256
23	45	14	0	4472	52	24	21	1	37.4501	36.913	36.913	51.3277	51.3277	47.0504
24	56	10	0	4639	63	26	29	2	37.4607	36.9663	36.9663	50.6035	50.6035	46.4846
25	47	6	0	5002	82	21	25	2	37.4475	37.0182	37.0182	48.8239	48.3718	37.07
26	47	5	0	5240	102	22	22	3	37.5718	37.0346	37.0346	49.4267	48.6998	37.07
27	50	4	0	5384	112	23	24	2	37.586	37.0425	37.0425	49.6473	48.6544	37.07
28	54	3	0	5620	140	24	27	2	37.6831	37.0502	37.0502	50.3093	49.2501	37.07
29	63	2	0	5839	166	25	34	3	37.7173	37.0573	37.0573	50.2455	48.9056	37.07
30	67	2	0	6124	204	27	35	4	37.7598	37.0579	37.0579	50.3352	48.1546	37.07
31	80	2	0	6318	249	34	43	3	37.7269	37.0583	37.0583	49.8733	47.0446	37.07
32	72	0	0	6434	301	33	38	3	37.7671	37.07	37.07	50.9866	43.2278	37.07
33	68	0	0	6543	331	28	38	4	37.7102	37.07	37.07	49.8373	41.6617	37.07
34	78	0	0	6665	366	37	39	4	37.7763	37.07	37.07	49.8318	42.438	37.07
35	80	0	0	6777	376	35	44	3	37.7811	37.07	37.07	49.3938	42.0981	37.07
36	82	0	0	6912	421	39	40	5	37.7779	37.07	37.07	49.7495	42.177	37.07
37	82	0	0	7224	493	36	43	5	37.7679	37.07	37.07	50.1535	42.1831	37.07
38	85	0	0	7433	601	36	47	4	37.7084	37.07	37.07	49.7762	42.4979	37.07
39	96	0	0	7457	705	41	52	5	37.7113	37.07	37.07	49.4792	42.1704	37.07
40	88	0	0	7585	816	39	47	4	37.7347	37.07	37.07	50.1081	42.2489	37.07
